ID,Cam,Grab
1,0.0,0.0
2,0.100062295794487,0.7546570301055908
3,0.20012475550174713,0.7761170864105225
4,0.3001872543245554,0.7902770042419434
5,0.40024922601878643,0.8049411773681641
6,0.5003115218132734,0.81911301612854
7,0.600373737514019,0.8354721069335938
8,0.7004362363368273,0.8521020412445068
9,0.8004984520375729,0.8689560890197754
10,0.9005607478320599,0.8978672027587891
11,1.00062320753932,1.000709056854248
12,1.100685503333807,1.1010119915008545
13,1.2007477208971977,1.200896978378296
14,1.3008099757134914,1.3007919788360596
15,1.4008724354207516,1.4006741046905518
16,1.5009347312152386,1.5007359981536865
17,1.6009969487786293,1.6012961864471436
18,1.7010592017322779,1.7007431983947754
19,1.8011216633021832,1.8009600639343262
20,1.901183957234025,1.9012300968170166
21,2.0012461747974157,2.0016000270843506
22,2.1013087145984173,2.101269006729126
23,2.201370930299163,2.2014570236206055
24,2.3014331832528114,2.3013360500335693
25,2.401495400816202,2.4014930725097656
26,2.5015579406172037,2.501573085784912
27,2.6016201563179493,2.5994210243225098
28,2.701682411134243,2.705029010772705
29,2.8017448727041483,2.9560980796813965
30,2.9018071684986353,2.973175048828125
31,3.001869384199381,2.99908709526062
32,3.1019316408783197,3.1021060943603516
33,3.20199410058558,3.201925039291382
34,3.302056396380067,3.3020761013031006
35,3.4021186120808125,3.402165174484253
36,3.502180866897106,3.5021090507507324
37,3.6022433675825596,3.602169990539551
38,3.7023056223988533,3.70237398147583
39,3.802367838099599,3.8023600578308105
40,3.9024303779006004,3.90246319770813
41,4.002492593601346,4.002530097961426
42,4.10255484841764,4.102610111236572
43,4.202617064118385,4.2023701667785645
44,4.302679603919387,4.3025500774383545
45,4.402741780504584,4.402811050415039
46,4.502804076299071,4.502840995788574
47,4.602866576984525,4.602720022201538
48,4.702928831800818,4.702916145324707
49,4.802991291508079,4.80299711227417
50,4.903053302317858,4.901223182678223
51,5.003115804865956,5.003106117248535
52,5.103178057819605,5.103157043457031
53,5.2032402735203505,5.20349907875061
54,5.3033025693148375,5.303439140319824
55,5.403365030884743,5.403239011764526
56,5.503427283838391,5.503381013870239
57,5.60348978638649,5.603594064712524
58,5.703551795333624,5.703524112701416
59,5.803614256903529,5.803586006164551
60,5.903676511719823,5.903512001037598
61,6.0037387274205685,6.003676176071167
62,6.10380126722157,6.104149103164673
63,6.203863484784961,6.203786134719849
64,6.303925780579448,6.303903102874756
65,6.403988240286708,6.403915166854858
66,6.504050496965647,6.504148006439209
67,6.604112712666392,6.604144096374512
68,6.704175008460879,6.704239130020142
69,6.8042374681681395,6.804166078567505
70,6.904299722984433,6.904232978820801
71,7.004361938685179,7.004346132278442
72,7.104424234479666,7.104434013366699
73,7.204486694186926,7.20468807220459
74,7.3045489471405745,7.304717063903809
75,7.404611164703965,7.4047040939331055
76,7.50467386841774,7.504549980163574
77,7.604735920205712,7.60471510887146
78,7.704798216000199,7.704725027084351
79,7.8048606757074594,7.804697036743164
80,7.904922932386398,7.904949188232422
81,8.004985148087144,8.004825115203857
82,8.105047443881631,8.104972124099731
83,8.205109903588891,8.205204010009766
84,8.305172158405185,8.304986000061035
85,8.405234375968575,8.40527606010437
86,8.505296669900417,8.505238056182861
87,8.605359129607677,8.605354070663452
88,8.705421425402164,8.705294132232666
89,8.805483600124717,8.805279016494751
90,8.905546139925718,8.902794122695923
91,9.005608355626464,9.005705118179321
92,9.105670651420951,9.105416059494019
93,9.205732868984342,9.205744981765747
94,9.305795123800635,9.305930137634277
95,9.405857583507895,9.406005144119263
96,9.505919879302382,9.505972146987915
97,9.605982340872288,9.605955123901367
98,9.706044595688581,9.705991983413696
99,9.806106811389327,9.80598497390747
100,9.906169107183814,9.906047105789185
101,10.00623156875372,10.006152153015137
102,10.106293862685561,10.1061851978302
103,10.206356080248952,10.206259965896606
104,10.3064183332026,10.306272029876709
105,10.406480794772506,10.406393051147461
106,10.506543291732669,10.506375074386597
107,10.606605306267738,10.606609106063843
108,10.706667559221387,10.706428050994873
109,10.806730020791292,10.806640148162842
110,10.90679231658578,10.906761169433594
111,11.006854532286525,11.006736040115356
112,11.106916788965464,11.106810092926025
113,11.206979287788272,11.2069571018219
114,11.30704154446721,11.307078123092651
115,11.407103760167956,11.407060146331787
116,11.50716601498425,11.507045030593872
117,11.607228515669703,11.60719108581543
118,11.707290770485997,11.707233190536499
119,11.807353230193257,11.80724310874939
120,11.907415525987744,11.907379150390625
121,12.007477946579456,12.007384061813354
122,12.107539996504784,12.107503175735474
123,12.207602456212044,12.207590103149414
124,12.307664712890983,12.307608127593994
125,12.407726967707276,12.407764196395874
126,12.507789224386215,12.50770115852356
127,12.607851723209023,12.607712030410767
128,12.707913979887962,12.707937002182007
129,12.807976195588708,12.808013200759888
130,12.908038452267647,12.908276081085205
131,13.0081009529531,13.00796914100647
132,13.108163207769394,13.108309030532837
133,13.20822542347014,13.208417177200317
134,13.308287717401981,13.308484077453613
135,13.408350180834532,13.40821099281311
136,13.508412677794695,13.50844407081604
137,13.608474649488926,13.608684062957764
138,13.708537187427282,13.70852518081665
139,13.808599406853318,13.80900502204895
140,13.908661659806967,13.90879511833191
141,14.00872416049242,14.008685111999512
142,14.108786415308714,14.108801126480103
143,14.208848632872105,14.209120035171509
144,14.308910928666592,14.309149026870728
145,14.408973388373852,14.409037113189697
146,14.509035643190145,14.508989095687866
147,14.609097860753536,14.609080076217651
148,14.709160400554538,14.709174156188965
149,14.809222616255283,14.809190034866333
150,14.909284869208932,14.909510135650635
151,15.009347086772323,15.009297132492065
152,15.10940938256681,15.109557151794434
153,15.20947184227407,15.209527015686035
154,15.309534138068557,15.309725999832153
155,15.409596312791109,15.409622192382812
156,15.509658608585596,15.509727001190186
157,15.609721027314663,15.609652996063232
158,15.709783364087343,15.709849119186401
159,15.809845823794603,15.810311079025269
160,15.909908080473542,15.909775018692017
161,16.009970296174288,16.010147094726562
162,16.110032591968775,16.10987401008606
163,16.210095051676035,16.21023416519165
164,16.310157308354974,16.310294151306152
165,16.41021952405572,16.410420179367065
166,16.51028181798756,16.5104022026062
167,16.610344279557467,16.610499143600464
168,16.71040657348931,16.710589170455933
169,16.810468789190054,16.810790061950684
170,16.910531044006348,16.910750150680542
171,17.010593749582767,17.01071810722351
172,17.110655799508095,17.110823154449463
173,17.21071801520884,17.21075701713562
174,17.31078027188778,17.311047077178955
175,17.41084273159504,17.41093397140503
176,17.510905027389526,17.510797023773193
177,17.610967244952917,17.611184120178223
178,17.71102949976921,17.711137056350708
179,17.811092000454664,17.81126117706299
180,17.911154255270958,17.91105818748474
181,18.011216716840863,18.011559009552002
182,18.11127901263535,18.111330032348633
183,18.211341228336096,18.211590051651
184,18.311403481289744,18.31148910522461
185,18.41146594285965,18.411617040634155
186,18.511528238654137,18.51149010658264
187,18.611590698361397,18.611720085144043
188,18.71165270730853,18.711611032485962
189,18.811715168878436,18.811764001846313
190,18.911777464672923,18.911818981170654
191,19.01183968037367,19.011780977249146
192,19.111901935189962,19.111805200576782
193,19.211964640766382,19.21198296546936
194,19.312026895582676,19.31191611289978
195,19.4120889082551,19.412271976470947
196,19.51215116493404,19.51222801208496
197,19.612213663756847,19.61244511604309
198,19.71227591857314,19.7125461101532
199,19.812338136136532,19.812456130981445
200,19.91240067407489,19.912594079971313
201,20.012462889775634,20.012521028518677
202,20.112525144591928,20.112500190734863
203,20.21258736215532,20.21299409866333
204,20.312649860978127,20.312702178955078
205,20.41271211579442,20.41278100013733
206,20.51277437247336,20.513102054595947
207,20.612836871296167,20.613123178482056
208,20.712899127975106,20.713097095489502
209,20.812961343675852,20.8129620552063
210,20.913023883476853,20.913076162338257
211,21.0130860991776,21.01325511932373
212,21.113148355856538,21.11351704597473
213,21.213210571557283,21.21313500404358
214,21.31327286735177,21.31332802772522
215,21.413335328921676,21.413666009902954
216,21.513397581875324,21.513296127319336
217,21.613460084423423,21.61373805999756
218,21.71352233737707,21.71360206604004
219,21.813584554940462,21.813660144805908
220,21.91364685073495,21.913578987121582
221,22.01370931044221,22.01374912261963
222,22.113771563395858,22.113960027694702
223,22.21383378095925,22.21392512321472
224,22.313896279782057,22.314218997955322
225,22.413958536460996,22.414294004440308
226,22.51402079127729,22.514785051345825
227,22.61408300884068,22.61444616317749
228,22.714145304635167,22.71433115005493
229,22.814207764342427,22.8143630027771
230,22.914270017296076,22.914513111114502
231,23.014332519844174,23.01457905769348
232,23.114394530653954,23.11470317840576
233,23.21445699222386,23.214859008789062
234,23.3145192861557,23.314738035202026
235,23.41458174586296,23.414826154708862
236,23.514644000679255,23.514944076538086
237,23.61470621638,23.614835023880005
238,23.714768512174487,23.714993000030518
239,23.814830971881747,23.815147161483765
240,23.914893228560686,23.915131092071533
241,24.01495544426143,24.015252113342285
242,24.11501774005592,24.115171194076538
243,24.21508019976318,24.215322971343994
244,24.315142495557666,24.315487146377563
245,24.41520471125841,24.415443181991577
246,24.515267211943865,24.51538896560669
247,24.61532942764461,24.61560606956482
248,24.715391723439097,24.71589708328247
249,24.815453939139843,24.81590509414673
250,24.91551643796265,24.91576099395752
251,25.015578653663397,25.01305913925171
252,25.115640949457884,25.116255044937134
253,25.215703409165144,25.21608805656433
254,25.31576570495963,25.315773010253906
255,25.415828123688698,25.416064023971558
256,25.51589017547667,25.515966176986694
257,25.61595263518393,25.61619806289673
258,25.716014932841063,25.71607804298401
259,25.816077146679163,25.81647300720215
260,25.916139403358102,25.91646409034729
261,26.016201861202717,26.01631808280945
262,26.116264160722494,26.116401195526123
263,26.21632637269795,26.216504096984863
264,26.316388834267855,26.316766023635864
265,26.416451087221503,26.416484117507935
266,26.51651338674128,26.51665711402893
267,26.616575844585896,26.616918087005615
268,26.716638142243028,26.7168710231781
269,26.816700356081128,26.816994190216064
270,26.9167644046247,26.917041063308716
271,27.016825072467327,27.01708197593689
272,27.116888834163547,27.11751103401184
273,27.21694958396256,27.217180013656616
274,27.317013589665294,27.317034006118774
275,27.417074298486114,27.417206048965454
276,27.51713651418686,27.517162084579468
277,27.617198809981346,27.617263078689575
278,27.717261269688606,27.717275142669678
279,27.8173235245049,27.81743812561035
280,27.917385740205646,27.917368173599243
281,28.017448036000133,28.017603158950806
282,28.117510495707393,28.1176700592041
283,28.21757279150188,28.217761993408203
284,28.31763525120914,28.317646980285645
285,28.41769750788808,28.417785167694092
286,28.51775996759534,28.5179181098938
287,28.61782201938331,28.618144989013672
288,28.717884480953217,28.717904090881348
289,28.81794673576951,28.81810998916626
290,28.918008951470256,28.918225049972534
291,29.018071245402098,29.018074989318848
292,29.118133708834648,29.118232011795044
293,29.21819600276649,29.218281984329224
294,29.31825822032988,29.31853699684143
295,29.418320717290044,29.418477058410645
296,29.518382934853435,29.518611192703247
297,29.618445228785276,29.61860203742981
298,29.718507444486022,29.7187922000885
299,29.81856994330883,29.818711042404175
300,29.91863216087222,29.918807983398438
301,30.018694456666708,30.01872706413269
