ev_stimtimes,ev_labels,white_light_on,white_light_off,UV_light_on,UV_light_off,shock_on,shock_off
NaN,NaN,7.5936361e7,7.5966265e7,NaN,NaN,7.596336e7,7.5966259e7
NaN,NaN,7.5996391e7,7.6026276e7,NaN,NaN,7.6023374e7,7.6026269e7
NaN,NaN,7.605643e7,7.6086145e7,NaN,NaN,7.6083245e7,7.6086139e7
