Video_filename,TimestampID,Number_turns,Turn_timestamps,Number_contractions,Contraction_timestamps,Notes
Video_Icy_Jobless_Titanium/,,4,"43,80,162,198",1,6,
Video_Icy_Obsolete_Ruffle/,,6,"49,76,123,185,227,243",2,"78,186",
Video_Ignorant_Silent_Rutabaga/,,3,"181,253,267",2,"47,262",
Video_Illegal_Broad_Clause/,,3,"43,77,106",0,,
Video_Imminent_Accurate_Dog/,,5,"1,32,94,190,211",2,"31,209",Actually looked like a real con to light here
Video_Innocent_Agreeable_Sheep/,,3,"132,161,196",0,,
Video_Invincible_Stale_Gorilla/,,2,"107,263",0,,
Video_Labored_Holistic_Interject/,,0,,0,,
Video_Lamentable_Few_Rise/,,4,"32,62,89,118",1,89,
Video_Lamentable_Pretty_Collateral/,,5,"32,45,134,251,267",1,273,
Video_Learned_Nervous_Crew/,,0,,0,,
Video_Likeable_Flagrant_Line/,,0,,0,,
Video_Longing_Nonchalant_Patrimony/,,1,204,0,,
Video_Loud_Scarce_Crush/,,4,"15,51,174,266",1,51,
Video_Loutish_Alleged_Theft/,,1,32,0,,
Video_Lovely_Mundane_Gratitude/,,2,"37,80",1,52,
Video_Macabre_Grubby_Series/,,8,"33,65,91,115,139,146,165,273",2,"21,121",
Video_Magenta_Smelly_Octopus/,,0,,0,,
Video_Malicious_Abstracted_Eardrum/,,3,"108,137,145",0,,
Video_Massive_Didactic_Spot/,,4,"114,129,253,273",0,,
Video_Mighty_Glamorous_Blame/,,2,"225,250",1,164,
Video_Mindless_Shocking_Maestro/,,0,,0,,
Video_Miniature_Honorable_Coast/,,1,191,0,,
Video_Miscreant_Dull_Chronicle/,,4,"20,65,211,232",1,65,
Video_Momentous_Efficient_Chicory/,,5,"50,73,107,124,157",1,117,
Video_Motionless_Grouchy_Monitor/,,4,"97,128,179,229,243",1,238,
Video_Muddy_Nervous_Happening/,,1,122,1,122,
Video_Mute_Funny_Cycle/,,1,37,0,,
Video_Mute_Heady_Commission/,,2,"165,234",0,,
Video_Naive_Subsequent_Invasion/,,4,"22,66,93,225",1,"92,144",
Video_Nappy_Grieving_Earthquake/,,3,"57,123,220",0,,
Video_Nasty_Squealing_Throat/,,0,,0,,
Video_Naughty_Political_Watch/,,0,,1,2,
Video_Nauseating_Shy_Trick/,,2,"77,99",0,,
Video_Nebulous_Giddy_Cancer/,,0,,0,,
Video_Needy_Muddled_Salesman/,,4,"146,159,247,273",1,247,
Video_Nosy_Tiresome_Allowance/,,3,"52,89,107",0,,
