Video_filename,TimestampID,Number_turns,Turn_timestamps,Number_contractions,Contraction_timestamps,Notes
Video_Ill_Amuck_Scientist/,,1,253,0,,
Video_Imminent_Poised_Father/,,0,,0,,
Video_Impartial_Vulgar_Briefly/,,2,"110,188",0,,
Video_Important_Addicted_Resort/,,1,207,1,209,
Video_Important_Nonchalant_Ostrich/,,0,,0,,
Video_Impossible_Irate_Pilgrimage/,,4,"99,119,150,225",2,"119,150",
Video_Innocent_Nutty_Garden/,,6,"46,69,118,153,190,237",1,232,
Video_Invincible_Anxious_Paramecium/,,2,"181,226",1,170,
Video_Invincible_Big_Bonfire/,,6,"30,70,92,177,194,244",1,244,
Video_Knotty_Difficult_Unblinking/,,1,32,0,,
Video_Knowing_Overrated_Afoul/,,2,"68,104",0,,
Video_Known_Skinny_Towel/,,1,160,0,,
Video_Labored_Sleepy_Engineer/,,0,,0,,
Video_Lamentable_Thankful_Wake/,,2,"37,229",0,,
Video_Late_Tan_Forgery/,,0,,0,,
Video_Lavish_Majestic_Age/,,0,,0,,
Video_Learned_Glamorous_Message/,,2,"155,189",0,,
Video_Learned_Thundering_Honeydew/,,3,"48,119,173",1,173,
Video_Loutish_Fat_Ostrich/,,3,"87,109,271",2,"41,86",
Video_Low_Absorbed_Layer/,,3,"197,220,260",1,112,
Video_Madly_Deadpan_Chopsticks/,,2,"89,264",1,161,
Video_Marked_Light_Liquid/,,3,"81,106,185",0,,
Video_Melodic_Square_Fiction/,,3,"80,134,153",0,,
Video_Long_Bloody_Efficiency/,,5,"31,62,92,240,270",0,,
Video_Long_Dashing_Banking/,,2,"71,132",0,,
Video_Lively_Scarce_Center/,,5,"36,111,155,224,240",0,,
Video_Little_Hungry_Port/,,4,"49,70,225,259",2,"70,221",
Video_Likeable_Terrible_Flume/,,6,"45,71,89,155,189,201",4,"4,71,87,203",
Video_Level_Habitual_Nest/,,3,"39,47,60",1,110,
Video_Mindless_Aware_Minister/,,5,"31,59,137,150,216",4,"11,48,83,110",
Video_Miniature_Guiltless_Playroom/,,0,,0,,
Video_Miscreant_Kind_Koala/,,1,221,0,,
Video_Moaning_Wrong_Antique/,,3,"30,148,186",1,115,
Video_Moldy_Needless_Stew/,,3,"34,63,197",0,,
Video_Murky_Dusty_Anime/,,6,"43,68,86,169,222,268",1,68,
Video_Nappy_Learned_Murder/,,0,,0,,
Video_Needy_Boring_Pace/,,0,,0,,
Video_Numberless_Wasteful_Pilgrimage/,,0,,0,,
Video_Obsolete_Heavenly_Career/,,7,"10,23,38,61,79,89,101",3,"89,153,204",
Video_Odd_Trashy_Inquiry/,,1,24,0,,
Video_Optimal_Fertile_Rust/,,1,40,1,257,
Video_Overrated_Quack_Culvert/,,2,"44,211",1,216,
Video_Painful_Barbarous_Jellybeans/,,0,,1,76,
Video_Painful_Forgetful_Father/,,4,"182,199,238,270",0,,
Video_Pathetic_Delicious_Dog/,,3,"39,191,218",0,,
Video_Periodic_Capricious_Roof/,,1,50,0,,
Video_Picayune_Groovy_Morbidity/,,0,,0,,
Video_Plucky_Difficult_Bolero/,,5,"81,119,138,208,232",0,,
Video_Pointless_Kind_Screw/,,4,"60,84,104,266",2,"108,266",
Video_Pointless_Wacky_Hammock/,,6,"20,31,149,175,196,213",0,,
Video_Political_Cowardly_Presume/,,4,"48,76,164,247",0,,
Video_Productive_Sticky_Shaw/,,10,"11,24,65,72,84,106,125,201,212,260",2,"24,106",
Video_Psychotic_Humorous_Warden/,,5,"43,120,137,145,209",0,,
Video_Puny_Judicious_Endoderm/,,5,"62,88,141,203,245",2,"141,203",
Video_Rainy_Vague_Shred/,,1,221,1,143,
Video_Recondite_Attractive_Preface/,,0,,0,,
Video_Rhetorical_Poor_Gaffe/,,2,"82,196",1,82,
Video_Rich_Workable_Thought/,,1,193,0,,
Video_Ritzy_Draconian_Habitat/,,2,"146,192",0,,
Video_Roomy_Odd_West/,,0,,0,,
Video_Ruthless_Devilish_Purse/,,6,"23,41,94,169,190,210",0,,
Video_Salty_Tasteful_Jewellery/,,3,"92,114,131",1,131,
Video_Scarce_Absorbed_Tube/,,2,"38,123",0,,
Video_Scary_Abnormal_Racist/,,5,"15,52,70,100,242",0,,
Video_Screeching_Depressed_Conduct/,,6,"39,69,94,113,135,269",2,"39,113",
Video_Screeching_Tired_Screw/,,1,178,1,81,
Video_Shaggy_Fallacious_Paramecium/,,3,"100,156,181",0,,
Video_Sharp_Majestic_Interject/,,2,"20,55",1,20,
Video_Shocking_Bewildered_Mound/,,1,267,0,,
Video_Sincere_Cheerful_Industry/,,1,52,0,,
Video_Skillful_Maddening_Wetland/,,6,"78,102,146,196,261,200",0,,
Video_Skinny_Purple_Caliber/,,2,"125,134",1,233,
Video_Slow_Sedate_Mailbox/,,4,"19,48,80,177",0,,
Video_Small_Imaginary_Store/,,2,"168,191",3,"35,238,255",
Video_Sneaky_Irate_Composite/,,1,44,0,,
Video_Sneaky_Overjoyed_Spark/,,0,,0,,
Video_Snotty_Bad_Pail/,,0,,0,,
Video_Snotty_Busy_Lasagna/,,1,240,0,,
Video_Splendid_Aware_Log/,,1,27,0,,
Video_Squealing_Massive_Bunghole/,,1,243,4,"40,72,98,130",
Video_Squeamish_Draconian_Linen/,,0,,0,,
Video_Staking_Ludicrous_Workout/,,1,39,1,40,
Video_Steady_Lean_Myth/,,4,"81,99,203,224",2,"64,93",
Video_Strange_Madly_Collapse/,,4,"52,77,140,221",2,"77,223",
Video_Subdued_Zany_Kebab/,,2,"226,239",0,,
Video_Swanky_Seemly_Razor/,,0,,0,,
Video_Tangible_Available_Dinghy/,,5,"21,35,81,118,210",0,,
Video_Telling_Big_Therapy/,,1,234,1,26,
Video_Tenuous_Noiseless_Tenet/,,1,262,1,258,
Video_Terrible_Merciful_Wetland/,,7,"32,54,73,190,225,248,274",0,,
Video_Tested_Mushy_Maggot/,,1,35,2,"24,64",
Video_Testy_Parched_Loquat/,,5,"108,166,181,199,262",1,262,
Video_Testy_Salty_Ridge/,,8,"39,55,64,81,96,117,161,257",2,"39,96",
Video_Thoughtful_Willing_Norm/,,0,,0,,
Video_Tiny_Happy_Studio/,,0,,0,,
Video_Truculent_Aboriginal_Summary/,,4,"69,106,243,261",1,106,
Video_Unadvised_Flippant_Honeydew/,,6,"2,75,119,198,238,265",0,,
Video_Unadvised_Sad_Snob/,,1,11,0,,
Video_Unarmed_Depressed_Rise/,,1,12,1,12,
Video_Unbiased_Godly_Suspect/,,1,9,2,"142,166",
Video_Utter_Combative_Cliff/,,6,"68,88,109,123,161,197",2,"88,197",
Video_Uttermost_Furtive_Mound/,,2,"124,193",0,,
Video_Vigorous_Quick_Coffin/,,1,210,0,,
Video_Vivacious_Vacuous_Firm/,,1,161,0,,
Video_Vulgar_Delicious_Alpha/,,0,,0,,
Video_Wealthy_Important_Coaster/,,0,,0,,Worm in electrode almost entire time.
Video_Wealthy_Jumbled_Series/,,0,,0,,
Video_Wise_Ruddy_Corral/,,2,"152,204",0,,
Video_Wistful_Large_Framework/,,0,,0,,
Video_Woebegone_Illegal_Fahrenheit/,,1,102,0,,
Video_Wooden_Holistic_Career/,,2,"38,164",2,"42,171",
Video_Wooden_Testy_Submitter/,,1,135,0,,
Video_Zealous_Rapid_Bedrock/,,1,243,0,,
Video_Zippy_Offbeat_Spasm/,,3,"72,113,266",0,,
Video_Melted_Utopian_Culvert/,,4,"49,90,161,274",1,20,
Video_Fantastic_Impartial_Mango/,,5,"100,161,204,226,253",1,100,
Video_Defeated_Impossible_Generation/,,1,180,0,,
