video,session,Troupe,Day,Block,worm_regions,n_CSon_frames,n_CSoff_frames,KL,KL_per_feature,Areas_KL,Area_percentages_KL,Perimeters_KL,Area_perimeter_ratios_KL,Circularities_KL,Hull_areas_KL,Centroidxs_KL,Centroidys_KL,Angles_KL,Concavities_KL,PC1_KL,PC2_KL
2025_10_14_10_25_19_trial_1_TC_regions_1072_463_1341_1389_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_25_19_trial_1_TC,,,,1072_463_1341_1389,825,956,1.416861439243477,"[0.02458721 0.04758169 0.27749685 0.19145712 0.59367558 0.05678747
 0.05784309 0.03541032 0.01473463 0.07286325 0.02569562 0.01872862]",0.024587205681760205,0.047581694092662774,0.2774968451451332,0.19145711604819304,0.5936755809603549,0.05678746792035816,0.057843091044190165,0.035410316810392195,0.014734629881875794,0.07286325348766609,0.025695619722733487,0.018728618448156875
2025_10_14_10_25_19_trial_1_TC_regions_117_458_362_1397_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_25_19_trial_1_TC,,,,117_458_362_1397,825,956,2.0232189128632454,"[0.29202508 0.29644625 0.19168454 0.01958076 0.06363442 0.38678964
 0.56363083 0.0033672  0.00732477 0.11804236 0.0101735  0.07051956]",0.292025077286416,0.2964462488099736,0.1916845350410583,0.01958076413483878,0.0636344158340767,0.38678964452235876,0.563630829525332,0.003367198306097108,0.007324773786490435,0.11804236394368028,0.010173498074780518,0.07051956359814282
2025_10_14_10_25_19_trial_1_TC_regions_1333_453_1564_1391_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_25_19_trial_1_TC,,,,1333_453_1564_1391,825,956,0.6089665202737905,"[0.02182086 0.01744072 0.05712932 0.12107077 0.07830923 0.05934534
 0.07453184 0.07039223 0.00448945 0.05245242 0.04844767 0.00353668]",0.021820859866450437,0.017440722055386382,0.05712932468953513,0.12107076953134677,0.07830922529727968,0.05934533708789402,0.07453183816232667,0.07039222776259746,0.004489447346720854,0.052452421799694005,0.04844767155741814,0.0035366751171409527
2025_10_14_10_25_19_trial_1_TC_regions_375_468_599_1397_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_25_19_trial_1_TC,,,,375_468_599_1397,825,956,1.2655401304600384,"[0.17339441 0.17453348 0.18150529 0.06301923 0.17146326 0.10178885
 0.01752611 0.20491064 0.05201764 0.01683518 0.05393152 0.05461453]",0.17339440923685367,0.17453347616725,0.18150529449764718,0.0630192266213091,0.17146325586770683,0.1017888542822426,0.017526105818150173,0.20491063720743652,0.052017640720498415,0.01683518373275461,0.053931517158890996,0.05461452914929832
2025_10_14_10_25_19_trial_1_TC_regions_604_461_854_1394_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_25_19_trial_1_TC,,,,604_461_854_1394,825,956,1.586151916676738,"[0.2468599  0.22918271 0.02043922 0.2432643  0.02663283 0.22811318
 0.13389038 0.24903028 0.11902567 0.00728342 0.05914668 0.02328335]",0.24685990246748146,0.22918271390482203,0.02043921502056023,0.24326429910457392,0.026632834563036223,0.22811317711221002,0.13389037666179382,0.24903027608817063,0.11902567043776036,0.0072834214990044055,0.05914667807385876,0.023283351743466074
2025_10_14_10_25_19_trial_1_TC_regions_846_461_1086_1397_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_25_19_trial_1_TC,,,,846_461_1086_1397,825,956,1.3193974102885593,"[0.17794764 0.18449424 0.0302293  0.18392366 0.06066739 0.12894483
 0.0671976  0.15542004 0.17902937 0.10827522 0.01557713 0.027691  ]",0.17794763612055342,0.18449423537979925,0.030229303483347736,0.18392366067380927,0.06066738632322688,0.1289448270916781,0.06719759974553152,0.1554200449750469,0.17902936889459686,0.10827522146756052,0.015577126915040429,0.027690999218368262
2025_10_14_10_35_03_trial_1_TC_regions_1111_388_1355_1335_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_35_03_trial_1_TC,,,,1111_388_1355_1335,825,956,1.603567224713926,"[0.0111135  0.00805363 0.16050677 0.14974936 0.18070001 0.16298842
 0.13501956 0.41253908 0.09894106 0.19163374 0.01229011 0.08003196]",0.011113503209250197,0.008053632680773637,0.16050677098779786,0.14974936343391365,0.1807000141060211,0.16298842305479233,0.13501956354342504,0.4125390849780094,0.0989410581270409,0.19163374044749637,0.012290106374764576,0.08003196377064115
2025_10_14_10_35_03_trial_1_TC_regions_1350_394_1568_1338_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_35_03_trial_1_TC,,,,1350_394_1568_1338,825,956,1.993428132279369,"[0.08644644 0.0778362  0.08502137 0.22486516 0.28337914 0.17960037
 0.44339855 0.47463759 0.05185557 0.04624434 0.0319414  0.00820201]",0.08644643675653274,0.0778361957290552,0.08502136548031636,0.22486516288563374,0.2833791401863406,0.17960037251804684,0.4433985458890465,0.4746375911411924,0.05185557159506504,0.046244340281427654,0.03194139725652956,0.008202012560182603
2025_10_14_10_35_03_trial_1_TC_regions_153_425_395_1367_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_35_03_trial_1_TC,,,,153_425_395_1367,825,956,3.0115015854924296,"[7.15417593e-04 2.84637919e-03 1.79117549e-01 1.38723269e-01
 5.33392735e-01 3.30845397e-02 1.32483132e-01 1.37192975e-01
 4.23577055e-02 8.41412996e-02 1.54682747e+00 1.80619111e-01]",0.0007154175933099527,0.0028463791862531895,0.1791175486749984,0.138723269269025,0.533392734695558,0.033084539721771056,0.13248313208875495,0.13719297495584015,0.04235770553077278,0.08414129955137606,1.5468274734422796,0.1806191107824906
2025_10_14_10_35_03_trial_1_TC_regions_390_425_624_1364_fullvideo_frame_split_FINAL_Feature_vector.npy,2025_10_14_10_35_03_trial_1_TC,,,,390_425_624_1364,825,956,1.9208286759761282,"[0.27724966 0.29299147 0.2382854  0.10795115 0.28962502 0.16165995
 0.0654854  0.08214197 0.0437863  0.04701762 0.3089897  0.00564503]",0.2772496563561969,0.2929914669101268,0.23828539911417346,0.10795115092374119,0.2896250237462855,0.16165994955035123,0.06548540423895088,0.08214197353347052,0.04378629798776679,0.0470176169112001,0.3089897040525198,0.005645032651344972
