Run,group_day,Trough,BlockNum,BlockType,Trial,W1,W2,W3,W4,W5,W6,,,,,
,,,7,CC,6,0,0,0,0,0,0,,,,,
,,,7,CC,7,0,0,0,0,0,0,,,,,
,,,7,CC,8,0,0,0,0,0,0,,,,,
,,,7,CC,9,0,0,0,0,0,0,,,,,
,,,7,CC,10,0,0,0,0,0,0,,,,,
,,,7,CC,11,0,0,1,0,0,0,,,,,
,,,7,CC,12,0,-1,1,0,0,0,,,,,
,,,7,CC,13,0,0,0,0,0,0,,,,,
,,,7,CC,14,0,0,0,0,0,0,,,,,
,,,7,CC,15,0,0,0,0,0,0,,,,,
,,,7,CC,16,0,0,0,0,0,0,,,,,
,,,7,CC,17,0,0,1,0,0,0,,,,,
,,,7,CC,18,0,0,1,0,0,0,,,,,
,,,7,CC,19,0,0,0,0,0,0,,,,,
,,,7,CC,20,0,0,1,1,0,0,,,,,
,,,7,CC,21,0,0,0,1,0,0,,,,,
,,,7,CC,22,0,0,0,0,0,1,,,,,
,,,7,CC,23,0,0,0,0,0,0,,,,,
,,,7,CC,24,0,0,0,0,0,0,,,,,
,,,7,CC,25,0,0,0,0,0,0,,,,,
2025_02_07_10_11_16_trial_1_PC,R2_2,Milled trough + attached electrodes,5,PC,1,0,0,0,0,0,0,,,,,
,,20 trials ,5,PC,2,0,0,0,0,0,0,,,,,
,,20s ITI,5,PC,3,0,0,0,0,0,0,,,,,
,,0 = no response,5,PC,4,1,0,0,0,0,0,,,,,
,,1 = head turn,5,PC,5,1,0,0,0,0,0,,,,,
,,2 = contraction,5,PC,6,-1,0,0,0,0,0,,,,,
,,3 = contraction + turn ,5,PC,7,1,0,0,0,1,0,,,,,
,,X = quiescent,5,PC,8,-1,0,0,0,-1,0,,,,,
,,"H = hidden, occluded",5,PC,9,1,0,0,0,1,0,,,,,
,,,5,PC,10,-1,0,0,0,0,0,,,,,
,,,5,PC,11,0,0,0,0,0,0,,,,,
,,,5,PC,12,0,0,0,0,0,0,,,,,
,,,5,PC,13,0,0,0,0,0,0,,,,,
,,,5,PC,14,0,0,0,0,0,0,,,,,
,,,5,PC,15,0,0,0,0,0,0,,,,,
,,,5,PC,16,0,0,0,0,0,0,,,,,
,,,5,PC,17,0,0,0,0,0,0,,,,,
,,,5,PC,18,0,0,0,0,0,0,,,,,
,,,5,PC,19,0,0,0,0,0,0,,,,,
,,,5,PC,20,0,0,0,0,0,0,,,,,
,,,5,PC,21,0,0,0,0,0,0,,,,,
,,,5,PC,22,0,0,0,0,0,0,,,,,
,,,5,PC,23,0,0,0,0,0,0,,,,,
,,,5,PC,24,0,0,0,0,0,0,,,,,
,,,5,PC,25,0,0,0,0,0,0,,,,,
2025_02_07_10_32_33_trial_1_PC,R2_2,Milled trough + attached electrodes,6,PC,1,0,0,0,0,0,0,,,,,
,,20 trials ,6,PC,2,1,0,0,0,0,0,,,,,
,,20s ITI,6,PC,3,0,0,1,0,0,0,,,,,
,,0 = no response,6,PC,4,1,0,1,0,0,0,,,,,
,,1 = head turn,6,PC,5,0,0,0,0,0,0,,,,,
,,2 = contraction,6,PC,6,-1,0,0,0,0,0,,,,,
,,3 = contraction + turn ,6,PC,7,0,0,0,0,0,0,,,,,
,,X = quiescent,6,PC,8,-1,0,0,-1,0,0,,,,,
,,"H = hidden, occluded",6,PC,9,0,0,1,0,0,0,,,,,
,,,6,PC,10,-1,0,0,0,0,0,,,,,
,,,6,PC,11,0,0,0,0,0,0,,,,,
,,,6,PC,12,0,0,0,0,0,0,,,,,
,,,6,PC,13,0,0,0,0,0,0,,,,,
,,,6,PC,14,0,0,0,0,0,0,,,,,
,,,6,PC,15,0,0,0,0,0,0,,,,,
,,,6,PC,16,0,0,0,0,0,0,,,,,
,,,6,PC,17,0,0,0,0,0,0,,,,,
,,,6,PC,18,0,0,0,0,0,0,,,,,
,,,6,PC,19,0,0,0,0,0,0,,,,,
,,,6,PC,20,0,0,0,0,0,0,,,,,
,,,6,PC,21,0,0,0,0,0,0,,,,,
,,,6,PC,22,0,0,0,0,0,0,,,,,
,,,6,PC,23,0,0,0,0,0,0,,,,,
,,,6,PC,24,0,0,0,0,0,0,,,,,
,,,6,PC,25,0,0,0,0,0,0,,,,,
2025_02_07_10_53_45_trial_1_PC,R2_2,Milled trough + attached electrodes,7,PC,1,0,0,0,0,0,0,,,,,
,,20 trials ,7,PC,2,0,0,0,0,0,0,,,,,
,,20s ITI,7,PC,3,0,0,0,0,0,0,,,,,
,,0 = no response,7,PC,4,0,0,0,0,0,0,,,,,
,,1 = head turn,7,PC,5,0,0,0,0,0,0,,,,,
,,2 = contraction,7,PC,6,0,0,0,0,0,0,,,,,
,,3 = contraction + turn ,7,PC,7,0,0,0,0,0,0,,,,,
,,X = quiescent,7,PC,8,0,0,0,-1,0,0,,,,,
,,"H = hidden, occluded",7,PC,9,0,0,0,0,0,0,,,,,
,,,7,PC,10,0,0,0,0,0,0,,,,,
,,,7,PC,11,0,0,0,-1,0,0,,,,,
,No further L's after this?,7,PC,12,0,0,0,0,0,0,0,,,,,
,"ZK: on Mon, look at reported L/S sequence",7,PC,13,0,0,0,0,0,0,0,,,,,
,"Frames temp reported in F column, delete when issue solvd",7,PC,14,0,0,0,0,0,0,0,,,,,
,,,7,PC,15,0,0,0,0,0,0,,,,,
,,,7,PC,16,0,0,0,0,0,0,,,,,
,,,7,PC,17,0,0,0,0,0,0,,,,,
,,,7,PC,18,0,0,0,0,0,0,,,,,
,,,7,PC,19,0,0,0,0,0,0,,,,,
,,,7,PC,20,0,0,0,0,0,0,,,,,
,,,7,PC,21,0,0,0,0,0,0,,,,,
,,,7,PC,22,0,0,0,0,0,0,,,,,
,,,7,PC,23,0,0,0,0,0,0,,,,,
,,,7,PC,24,0,0,0,0,0,0,,,,,
,,,7,PC,25,0,1,1,0,1,0,,,,,
2025_02_07_12_02_32_trial_1_CC,R3_2,Milled trough + attached electrodes,5,CC,1,1,1,0,1,1,0,,,,,
,,20 trials ,5,CC,2,0,1,1,1,1,0,,,,,
,,20s ITI,5,CC,3,0,1,1,0,0,0,,,,,
,,All CRs are turns or contractions,5,CC,4,1,1,1,1,1,0,,,,,
,,CC Med,5,CC,5,0,1,1,1,1,0,,,,,
,,,5,CC,6,1,0,1,1,0,-1,,,,,
,,,5,CC,7,0,1,1,0,0,-1,,,,,
,,,5,CC,8,0,0,1,1,1,1,,,,,
,,,5,CC,9,1,1,0,1,1,0,,,,,
,,,5,CC,10,1,1,1,0,1,0,,,,,
,,,5,CC,11,1,1,1,0,1,1,,,,,
,,,5,CC,12,1,0,0,0,1,1,,,,,
,,,5,CC,13,0,1,1,1,1,1,,,,,
,,,5,CC,14,1,1,1,0,1,1,,,,,
,,,5,CC,15,1,0,1,1,1,0,,,,,
,,,5,CC,16,1,0,1,1,0,0,,,,,
,,,5,CC,17,0,0,1,1,1,0,,,,,
,,,5,CC,18,1,0,0,0,1,0,,,,,
,,,5,CC,19,-1,0,-1,-1,1,1,,,,,
,,,5,CC,20,1,0,1,1,1,1,,,,,
,,,5,CC,21,1,0,1,1,1,1,,,,,
,,,5,CC,22,1,0,1,0,1,1,,,,,
,,,5,CC,23,1,0,1,1,0,1,,,,,
,,,5,CC,24,0,0,0,0,1,1,,,,,
,,,5,CC,25,0,0,0,0,1,0,,,,,
2025_02_07_12_24_09_trial_1_CC,R3_2,Milled trough + attached electrodes,6,CC,1,1,0,0,0,0,0,,,,,
,,20 trials ,6,CC,2,1,0,0,0,1,0,,,,,
,,20s ITI,6,CC,3,1,0,0,0,0,0,,,,,
,,All CRs are turns or contractions,6,CC,4,1,0,0,0,1,0,,,,,
,,CC Med,6,CC,5,1,0,0,0,1,1,,,,,
,,,6,CC,6,1,0,0,0,1,-1,,,,,
,,,6,CC,7,1,0,0,0,1,1,,,,,
,,,6,CC,8,1,0,0,0,1,1,,,,,
,,,6,CC,9,1,0,0,0,0,1,,,,,
,,,6,CC,10,1,0,0,0,1,1,,,,,
,,,6,CC,11,1,0,0,0,1,1,,,,,
,,,6,CC,12,1,0,0,0,0,1,,,,,
,,,6,CC,13,1,0,0,0,1,1,,,,,
,,,6,CC,14,1,0,0,0,1,1,,,,,
,,,6,CC,15,0,0,0,0,0,1,,,,,
,,,6,CC,16,0,0,0,0,1,1,,,,,
,,,6,CC,17,1,0,0,0,0,1,,,,,
,,,6,CC,18,0,0,0,0,1,1,,,,,
,,,6,CC,19,1,0,0,0,0,-1,,,,,
,,,6,CC,20,1,0,0,0,1,0,,,,,
,,,6,CC,21,1,0,0,0,0,0,,,,,
,,,6,CC,22,0,0,0,0,0,0,,,,,
,,,6,CC,23,1,0,0,0,1,0,,,,,
,,,6,CC,24,1,0,0,0,1,0,,,,,
,,,6,CC,25,0,0,0,0,0,0,,,,,
2025_02_07_12_45_21_trial_1_CC,R3_2,Milled trough + attached electrodes,7,CC,1,0,0,0,0,0,0,,,,,
,,20 trials ,7,CC,2,0,0,0,0,1,0,,,,,
,,20s ITI,7,CC,3,0,0,0,0,0,0,,,,,
,,All CRs are turns or contractions,7,CC,4,0,0,0,0,1,0,,,,,
,,CC Med,7,CC,5,0,0,0,0,1,0,,,,,
,,,7,CC,6,0,0,0,0,1,0,,,,,
,,,7,CC,7,0,0,0,0,1,0,,,,,
,,,7,CC,8,0,0,0,0,1,0,,,,,
,,,7,CC,9,0,0,0,0,1,0,,,,,
,,,7,CC,10,0,0,0,0,1,0,,,,,
,,,7,CC,11,0,0,0,0,0,0,,,,,
,,,7,CC,12,0,0,0,0,1,0,,,,,
,,,7,CC,13,0,0,0,0,1,0,,,,,
,,,7,CC,14,0,0,0,0,1,0,,,,,
,,,7,CC,15,0,0,0,0,1,0,,,,,
,,,7,CC,16,0,0,0,0,0,0,,,,,
,,,7,CC,17,0,0,0,0,1,0,,,,,
,,,7,CC,18,0,0,0,0,1,0,,,,,
,,,7,CC,19,0,0,0,0,1,0,,,,,
,,,7,CC,20,0,0,0,0,0,0,,,,,
,,,7,CC,21,0,0,0,0,1,0,,,,,
,,,7,CC,22,0,1,0,0,0,0,,,,,
,,,7,CC,23,0,1,0,0,1,0,,,,,
,,,7,CC,24,0,1,0,0,1,0,,,,,
,,,7,CC,25,0,0,0,0,0,0,,,,,
