Run,group_day,Trough,BlockNum,BlockType,Trial,W1,W2,W3,W4,W5,W6,,,,,
,,,3,PC,24,0,0,0,0,0,0,,,,,
,,,3,PC,25,0,0,0,0,0,0,,,,,
2025_02_06_13_01_53_trial_1_PC,R2_1,Milled trough + attached electrodes,4,PC,1,0,0,0,0,0,0,,,,,
,,20 trials ,4,PC,2,0,0,0,0,0,0,,,,,
,,20s ITI,4,PC,3,0,0,0,0,0,0,,,,,
,,0 = no response,4,PC,4,0,0,0,0,0,0,,,,,
,,1 = head turn,4,PC,5,0,0,0,0,0,0,,,,,
,,2 = contraction,4,PC,6,0,0,0,0,0,0,,,,,
,,3 = contraction + turn ,4,PC,7,0,0,0,0,0,0,,,,,
,,X = quiescent,4,PC,8,0,0,0,0,0,0,,,,,
,,"H = hidden, occluded",4,PC,9,0,0,0,0,0,0,,,,,
,,,4,PC,10,0,0,0,0,0,0,,,,,
,,,4,PC,11,0,0,0,0,0,0,,,,,
,,,4,PC,12,0,0,0,0,0,0,,,,,
,,,4,PC,13,0,0,0,0,0,0,,,,,
,,,4,PC,14,0,0,0,0,0,0,,,,,
,,,4,PC,15,0,0,0,0,0,0,,,,,
,,,4,PC,16,0,0,0,0,0,0,,,,,
,,,4,PC,17,0,0,0,0,0,0,,,,,
,,,4,PC,18,0,0,0,0,0,0,,,,,
,,,4,PC,19,0,0,0,0,0,0,,,,,
,,,4,PC,20,0,0,0,0,0,0,,,,,
,,,4,PC,21,0,0,0,0,0,0,,,,,
,,,4,PC,22,0,0,0,0,0,0,,,,,
,,,4,PC,23,0,0,0,0,0,0,,,,,
,,,4,PC,24,0,0,0,0,0,0,,,,,
,,,4,PC,25,0,0,0,0,0,0,,,,,
2025_02_06_14_05_11_trial_1_LO,R3_1,Milled trough + attached electrodes,1,LO,1,0,0,0,0,0,0,,,,,
,,20 trials ,1,LO,2,0,0,0,0,0,0,,,,,
,,20s ITI,1,LO,3,0,0,0,0,0,0,,,,,
,,All CRs are turns or contractions,1,LO,4,0,0,0,0,0,1,,,,,
,,CC Med,1,LO,5,0,1,0,0,-1,-1,,,,,
,,,1,LO,6,0,0,0,0,0,0,,,,,
,,,1,LO,7,0,0,0,0,-1,0,,,,,
,,,1,LO,8,0,-1,0,0,0,0,,,,,
,,,1,LO,9,0,0,0,0,0,0,,,,,
,,,1,LO,10,0,0,0,0,0,0,,,,,
,,,1,LO,11,0,0,0,0,0,0,,,,,
,,,1,LO,12,0,0,0,0,0,0,,,,,
,,,1,LO,13,0,0,0,0,0,0,,,,,
,,,1,LO,14,0,-1,0,0,0,0,,,,,
,,,1,LO,15,0,0,0,0,0,0,,,,,
,,,1,LO,16,0,0,0,0,0,0,,,,,
,,,1,LO,17,0,0,0,0,0,0,,,,,
,,,1,LO,18,0,0,0,0,0,0,,,,,
,,,1,LO,19,0,1,0,0,0,0,,,,,
,,,1,LO,20,0,-1,0,0,0,0,,,,,
,,,1,LO,21,1,1,0,0,0,0,,,,,
,,,1,LO,22,-1,0,0,0,0,0,,,,,
,,,1,LO,23,0,0,0,0,0,0,,,,,
,,,1,LO,24,0,-1,0,0,0,0,,,,,
,,,1,LO,25,0,0,0,0,0,0,,,,,
2025_02_06_14_29_30_trial_1_LO,R3_1,Milled trough + attached electrodes,2,LO,1,0,0,0,0,0,0,,,,,
,,20 trials ,2,LO,2,0,0,0,0,0,0,,,,,
,,20s ITI,2,LO,3,0,0,0,0,0,0,,,,,
,,All CRs are turns or contractions,2,LO,4,0,0,0,0,0,0,,,,,
,,CC Med,2,LO,5,0,0,0,0,0,0,,,,,
,,,2,LO,6,0,0,0,0,0,0,,,,,
,,,2,LO,7,0,0,0,0,0,0,,,,,
,,,2,LO,8,0,0,0,0,0,0,,,,,
,,,2,LO,9,-1,0,0,0,0,0,,,,,
,,,2,LO,10,0,0,0,0,0,0,,,,,
,,,2,LO,11,0,0,0,0,0,0,,,,,
,,,2,LO,12,0,0,0,0,0,1,,,,,
,,,2,LO,13,0,0,0,0,0,-1,,,,,
,,,2,LO,14,0,0,0,0,0,0,,,,,
,,,2,LO,15,0,0,0,0,0,0,,,,,
,,,2,LO,16,0,0,0,0,0,1,,,,,
,,,2,LO,17,0,0,0,0,0,1,,,,,
,,,2,LO,18,0,0,0,0,0,0,,,,,
,,,2,LO,19,0,0,0,0,0,0,,,,,
,,,2,LO,20,0,0,0,0,0,0,,,,,
,,,2,LO,21,0,0,0,0,0,0,,,,,
,,,2,LO,22,1,0,0,0,1,0,,,,,
,,,2,LO,23,-1,0,0,0,-1,0,,,,,
,,,2,LO,24,0,0,0,0,0,0,,,,,
,,,2,LO,25,1,0,0,0,1,1,,,,,
2025_02_06_14_50_42_trial_1_CC,R3_1,Milled trough + attached electrodes,3,CC,1,0,0,0,0,0,1,,,,,
,,20 trials ,3,CC,2,1,0,0,0,0,1,,,,,
,,20s ITI,3,CC,3,1,0,0,0,0,1,,,,,
,,All CRs are turns or contractions,3,CC,4,1,0,0,0,1,0,,,,,
,,CC Med,3,CC,5,0,0,0,1,0,1,,,,,
,,,3,CC,6,1,0,0,0,0,0,,,,,
,,,3,CC,7,0,1,0,1,1,-1,,,,,
,,,3,CC,8,1,1,0,1,0,1,,,,,
,,,3,CC,9,1,1,0,1,1,1,,,,,
,,,3,CC,10,1,0,0,1,0,1,,,,,
,,,3,CC,11,1,1,0,0,1,1,,,,,
,,,3,CC,12,1,0,0,1,1,1,,,,,
,,,3,CC,13,1,1,0,-1,0,1,,,,,
,,,3,CC,14,0,0,0,1,1,1,,,,,
,,,3,CC,15,1,0,0,1,1,0,,,,,
,,,3,CC,16,1,0,0,1,0,1,,,,,
,,,3,CC,17,1,0,0,0,0,1,,,,,
,,,3,CC,18,1,0,0,1,1,1,,,,,
,,,3,CC,19,0,0,1,0,1,1,,,,,
,,,3,CC,20,0,0,1,1,1,1,,,,,
,,,3,CC,21,1,0,1,1,1,1,,,,,
,,,3,CC,22,0,0,1,1,1,1,,,,,
,,,3,CC,23,1,0,0,1,1,1,,,,,
,,,3,CC,24,1,0,0,0,0,1,,,,,
,,,3,CC,25,0,0,0,0,0,0,,,,,
2025_02_06_15_10_13_trial_1_CC,R3_1,Milled trough + attached electrodes,4,CC,1,0,0,0,0,0,0,,,,,
,,20 trials ,4,CC,2,0,0,0,0,0,0,,,,,
,,20s ITI,4,CC,3,0,0,0,0,0,0,,,,,
,,All CRs are turns or contractions,4,CC,4,0,0,0,0,0,0,,,,,
,,CC Med,4,CC,5,0,0,0,0,0,0,,,,,
,,,4,CC,6,0,0,1,0,0,0,,,,,
,,,4,CC,7,0,0,0,0,0,0,,,,,
,,,4,CC,8,0,0,0,0,0,0,,,,,
,,,4,CC,9,0,0,0,0,0,0,,,,,
,,,4,CC,10,0,0,1,0,0,0,,,,,
,,,4,CC,11,0,0,1,0,0,0,,,,,
,,,4,CC,12,0,0,-1,0,0,0,,,,,
,,,4,CC,13,0,1,0,0,0,0,,,,,
,,,4,CC,14,0,1,0,0,0,0,,,,,
,,,4,CC,15,0,-1,0,0,0,0,,,,,
,,,4,CC,16,0,-1,0,0,0,0,,,,,
,,,4,CC,17,0,0,0,0,0,0,,,,,
,,,4,CC,18,0,0,0,0,0,0,,,,,
,,,4,CC,19,0,0,0,0,0,0,,,,,
,,,4,CC,20,0,0,0,0,0,0,,,,,
,,,4,CC,21,0,0,0,0,0,0,,,,,
,,,4,CC,22,0,0,0,0,0,0,,,,,
,,,4,CC,23,0,0,0,0,0,0,,,,,
,,,4,CC,24,0,0,0,0,0,0,,,,,
,,,4,CC,25,0,0,0,0,0,0,,,,,
