Run,Troupe,Day,Trial,W1,W2,W3,W4,W5,W6,Notes
,,,11,0,1,NA,1,0,0,
,,,12,0,1,NA,1,0,0,
,,,13,0,0,NA,0,1,1,
,,,14,0,1,NA,0,0,0,
,,,15,0,0,NA,0,0,0,
,,,16,0,1,NA,0,0,0,
,,,17,0,0,NA,0,0,0,
,,,18,0,1,NA,0,0,0,
,,,19,0,0,NA,0,0,1,
,,,20,0,0,NA,0,0,0,
2025_02_03_11_34_02,Ph_5,1,1,0,0,0,1,1,0,
,,,2,0,0,1,1,0,0,
,,,3,0,0,1,0,0,0,
,,,4,0,0,0,0,0,0,
,,,5,0,0,0,0,0,0,
,,,6,0,0,1,0,0,0,
,,,7,0,0,1,0,0,0,
,,,8,0,0,0,1,Q,1,
,,,9,0,0,0,0,Q,0,
,,,10,0,0,1,0,Q,0,
,,,11,1,0,0,1,Q,0,
,,,12,0,0,1,0,Q,0,
,,,13,0,0,0,0,Q,0,
,,,14,0,0,0,1,0,0,
,,,15,0,0,1,0,1,0,
,,,16,0,0,0,1,0,0,
,,,17,0,0,0,0,Q,0,"This one was a ""1"" in behavior response but Q in Q, so it's Q here."
,,,18,0,1,1,0,Q,0,
,,,19,0,0,0,1,Q,0,
,,,20,0,0,0,1,Q,0,
2025_02_04_09_38_33,Ph_5,2,1,1,1,0,1,0,0,
,,,2,0,0,1,0,0,1,
,,,3,0,1,1,1,0,0,
,,,4,0,0,1,0,0,0,
,,,5,0,0,1,0,0,0,
,,,6,0,1,1,1,0,0,
,,,7,0,0,0,0,0,0,
,,,8,1,0,0,1,Q,0,
,,,9,0,0,1,1,0,0,
,,,10,0,0,0,0,0,1,
,,,11,0,0,1,0,0,0,
,,,12,0,0,0,1,1,0,
,,,13,0,0,1,0,0,0,
,,,14,0,0,1,0,0,0,
,,,15,1,0,1,0,0,0,
,,,16,0,1,0,0,Q,0,
,,,17,0,0,0,0,Q,0,
,,,18,0,NA,0,0,Q,0,
,,,19,0,Q,0,0,Q,0,
,,,20,0,0,0,0,Q,0,
2025_02_03_12_10_50,Ph_6,1,1,0,0,1,0,0,0,
,,,2,0,0,1,0,0,0,
,,,3,0,0,1,0,0,0,
