Video_filename,TimestampID,Number_turns,Turn_timestamps,Number_contractions,Contraction_timestamps,Notes
Video_Invincible_Stale_Gorilla/,,3,"17,108,236",0,,
Video_Labored_Holistic_Interject/,,1,67,0,,
Video_Lamentable_Few_Rise/,,3,"37,94,115",0,,
Video_Lamentable_Pretty_Collateral/,,3,"146,257,272",0,,
Video_Learned_Nervous_Crew/,,0,,0,,
Video_Likeable_Flagrant_Line/,,0,,0,,Worm was static in the edge the entire time.
Video_Longing_Nonchalant_Patrimony/,,1,208,0,,
Video_Loud_Scarce_Crush/,,4,"19,63,183,272",1,53,
Video_Loutish_Alleged_Theft/,,0,,0,,
Video_Lovely_Mundane_Gratitude/,,1,70,1,49,
Video_Macabre_Grubby_Series/,,7,"32,64,106,140,165,203,273",3,"17,121,207",
Video_Magenta_Smelly_Octopus/,,0,,0,,
Video_Malicious_Abstracted_Eardrum/,,3,"111,131,145",1,45,
Video_Massive_Didactic_Spot/,,3,"138,252,273",0,,
Video_Mighty_Glamorous_Blame/,,2,"223,259",0,,
Video_Mindless_Shocking_Maestro/,,0,,0,,
Video_Miniature_Honorable_Coast/,,1,160,0,,
Video_Miscreant_Dull_Chronicle/,,3,"26,73,237",1,71,
Video_Snobbish_Productive_Concept/,,6,"35,59,81,125,152,182",2,"83,148",
Video_Momentous_Efficient_Chicory/,,3,"59,111,151",1,123,
Video_Motionless_Grouchy_Monitor/,,3,"111,229,248",2,"113,237",
Video_Muddy_Nervous_Happening/,,0,,1,125,
Video_Mute_Funny_Cycle/,,0,,2,"146,240",
Video_Mute_Heady_Commission/,,1,176,0,,
Video_Naive_Subsequent_Invasion/,,2,"36,228",1,46,worm hidden at one point
Video_Nappy_Grieving_Earthquake/,,2,"116,168",0,,
Video_Nasty_Squealing_Throat/,,0,,0,,
Video_Naughty_Political_Watch/,,0,,1,9,
Video_Nauseating_Shy_Trick/,,2,"108,274",0,,
Video_Nebulous_Giddy_Cancer/,,0,,0,,
Video_Needy_Muddled_Salesman/,,2,"153,254",1,249,
Video_Nosy_Tiresome_Allowance/,,3,"56,94,273",0,,
Video_Null_Billowy_Vibrissae/,,1,212,1,217,
Video_Null_Damp_Bedrock/,,1,158,0,,
Video_Obedient_Ruthless_Throat/,,0,,0,,
Video_Obnoxious_Curved_Career/,,0,,0,,
Video_Obscene_Succinct_Till/,,2,"199,219",0,,"Lots of turns, but I've only been counting sharp and jerky turns"
Video_Obsequious_Woozy_Sleep/,,1,258,2,"116,245",
Video_Observant_Naive_Repayment/,,4,"40,96,156,224",1,39,
Video_Optimal_Amuck_Conversion/,,0,,0,,
Video_Optimal_Swift_Cultivator/,,0,,1,7,
Video_Overjoyed_Talented_Force/,,4,"111,175,223,272",0,,
Video_Parched_Faulty_Input/,,4,"4,40,84,221",1,128,
Video_Perpetual_Jumpy_Zone/,,2,"58,239",1,236,
Video_Plucky_Cultured_Leveret/,,3,"127,158,194",1,22,
Video_Poor_Guttural_Service/,,8,"5,18,44,69,120,144,178,247",2,"123,179",
Video_Premium_Needless_Exhibition/,,0,,0,,
Video_Productive_Little_Mythology/,,0,,0,,
Video_Profuse_Panoramic_Nudge/,,4,"87,141,193,243",2,"92,249",
Video_Profuse_Wacky_Oar/,,7,"8,53,118,147,201,236,274",2,"50,238",
Video_Pumped_Groovy_Love/,,0,,1,265,"Worm was very static. Looks like there was one contraction, but it was a bit hard to see"
Video_Puzzled_Quick_Brood/,,0,,2,"66,127",
Video_Quiet_Deranged_Hive/,,4,"25,37,58,117",1,50,
Video_Quizzical_Damp_Difficulty/,,2,"108,207",0,,
Video_Real_Low_Threat/,,0,,0,,
Video_Real_Shaggy_Trapezoid/,,3,"22,79,203",1,73,
Video_Red_Magical_Ability/,,3,"58,102,250",4,"97,114,168,255",
Video_Redundant_Null_Gram/,,2,"111,132",1,137,
Video_Resolute_Venomous_Tulip/,,1,119,0,,
Video_Rich_Cuddly_Warrior/,,0,,1,25,
Video_Ripe_Waggish_Burden/,,4,"66,87,189,245",1,76,
Video_Ritzy_Huge_Hydrocarb/,,4,"85,135,213,266",3,"112,204,266","Started contracted, then expanded. (I didn't count this as a contraction)"
Video_Ritzy_Wet_Phone/,,0,,0,,
Video_Roomy_Good_Achiever/,,1,45,0,,
Video_Ruthless_Spurious_Personal/,,2,"100,274",1,254,
Video_Scandalous_Adamant_Finding/,,0,,0,,"I've been trying to count turns as abrupt pivots that are atleast 90 degrees. I don't think this worm did it, but I was less sure."
Video_Scarce_Hysterical_Screamer/,,2,"0,205",0,,
Video_Scattered_Impossible_Bucket/,,5,"20,48,103,175,204",3,"47,92,153",
Video_Scientific_Abusive_Hops/,,2,"136,217",1,17,
Video_Scientific_Quiet_Diaper/,,0,,1,274,
Video_Scientific_Sweet_Word/,,2,"193,230",0,,
Video_Screeching_Typical_Going/,,7,"15,48,75,95,137,220,231",4,"15,103,139,238",
