Video_filename,TimestampID,Number_turns,Turn_timestamps,Number_contractions,Contraction_timestamps,Notes
Video_Aback_Gentle_Deduce/,,1,143,1,134,
Video_Abhorrent_Jittery_Trap/,,2,"116,205",0,,
Video_Abounding_Wholesale_Van/,,2,"52,205",0,,
Video_Absorbed_Muddled_Chaos/,,0,,1,146,
Video_Agonizing_Round_Planning/,,0,,2,"141,168",
Video_Agreeable_Ill_Butcher/,,0,,1,200,
Video_Ahead_Tasty_Chicory/,,0,,0,,
Video_Alcoholic_Silky_Curler/,,2,"70,78",1,96,
Video_Arrogant_Quiet_Hive/,,1,193,0,,
Video_Awful_Early_Agony/,,1,98,1,82,
Video_Bad_Strange_Peasant/,,0,,0,,
Video_Big_Blue_Statue/,,3,"96,123,130",1,38,
Video_Big_Endurable_Breakpoint/,,2,"136,225",0,,
Video_Black_Nappy_Redhead/,,0,,0,,
Video_Bloody_Nasty_Love/,,1,106,0,,
Video_Boorish_Afraid_Dissonance/,,2,"10,137",1,178,
Video_Boring_Sleepy_Chopsticks/,,0,,2,"164,177",
Video_Brainy_Macabre_Gathering/,,5,"88,123,154,207,249",2,"22,108",
Video_Bright_Plain_Bias/,,1,45,1,163,
Video_Bumpy_Greedy_Accord/,,0,,1,202,
Video_Busy_Lavish_Snob/,,1,69,2,"16,272",
Video_Clean_Unsightly_Injury/,,1,242,0,,
Video_Clear_Smooth_Brace/,,0,,0,,
Video_Cloistered_Dazzling_Pail/,,2,"116,163",2,"40,145",
Video_Combative_Available_Context/,,0,,1,98,
Video_Concerned_Understood_Egg/,,2,"237,267",0,,
Video_Confused_Magenta_Mutt/,,1,187,0,,
Video_Crooked_Jolly_Wetland/,,0,,0,,
Video_Curious_Motionless_Waiter/,,1,265,2,"98,205",
Video_Dashing_Racial_Cliff/,,0,,0,,
Video_Defeated_Joyous_Hundred/,,0,,1,135,
Video_Deserted_Scientific_Cub/,,0,,0,,
Video_Didactic_Spiffy_Ketchup/,,3,"61,153,203",0,,
Video_Difficult_Lovely_Marker/,,0,,0,,
Video_Disturbed_Merciful_Bolero/,,2,"114,171",0,,
Video_Doubtful_Boorish_Elicit/,,0,,0,,Unusually stationary for the first half of the video
Video_Dry_Pleasant_Slash/,,3,"89,193,241",1,69,
Video_Dynamic_Spicy_Intensity/,,0,,0,,
Video_Educated_Illegal_Coast/,,3,"90,165,262",2,"109,142",Some vibrations at the start of the video?
Video_Elderly_Great_Tractor/,,0,,0,,
Video_Eminent_Cute_Sound/,,2,"55,221",0,,
Video_Enchanting_Racial_Total/,,2,"135,205",1,155,
Video_Energetic_Gainful_Footnote/,,1,18,0,,
Video_Energetic_Little_Carry/,,3,"81,181,269",2,"42,256",
Video_Equable_Billowy_Fen/,,3,"104,147,264",1,232,
Video_Erratic_Aback_Miter/,,0,,0,,
