Run_Date,Start_Time,Run_Name,Species,Group,Troupe,Block,Day,Block_Type,Data_Folder,Last_fed,No. worms,Voltage (V),Current (A),Trough No.,Worm Runner,PP?,Scored?,BDTL?,usable?,BFFs,BFF TF,Notes,Notes from rewatching.,,,,,,,,
20241203,17:10,Pilot_GD_CC_Tr2_Day2_Block3_CC,GD,CC,2,3,2,CC,2024_12_03_17_10_54_trial_1_CC,6,6,12,NA,Collegiate-1,ZK,,Y,N,,,,"25trial 20 ITI CC protocol. First worm still quiescent, fourth worm started block quiescent on north mesh. Sixth quiescent by 7 min.",,,,,,,,,
20241204,16:45,Pilot_GD_CC_Tr2_Day3_Block1_CC,GD,CC,2,1,3,CC,2024_12_04_16_45_16_trial_1_CC,7,6,12,NA,Collegiate-1,ZK,,Y,N,,,,"25trial 20 ITI CC protocol. Forgot to save vid in calibration so worms went in and out once while I re-recorded calibration. Sixth worm has lesion near pharynx, either injured or dropping tail?","Sixth worm injured at start which changes his contractions to be more subtle, but they are still distinguishable.",,,,,,,,
20241204,17:06,Pilot_GD_CC_Tr2_Day3_Block2_CC,GD,CC,2,2,3,CC,2024_12_04_17_06_06_trial_1_CC,7,6,12,NA,Collegiate-1,ZK,,Y,Maybe...?,,,,"25trial 20 ITI CC protocol. Let it run for 1 min during Waiting at end, oops.",,,,,,,,,
20241204,17:27,Pilot_GD_CC_Tr2_Day3_Block3_CC,GD,CC,2,3,3,CC,2024_12_04_17_27_02_trial_1_CC,7,6,12,NA,Collegiate-1,ZK,,Y,N,,,,25tri 20ITI CC. One injured is injured near pharynx.,,,,,,,,,
20241205,16:45,Pilot_GD_CC_Tr2_Day4_Block1_CC,GD,CC,2,1,4,CC,2024_12_05_16_45_19_trial_1_CC,8,6,12,NA,Collegiate-1,ZK,,Y,N,,,,"25tri 20 ITI CC. Before first stim one jumped lanes, so I restarted a new run (this run is the new one). Same one escaped during block 1 so in 10 min rest I found him in the corner and returned him to his lane.",,,,,,,,,
20241205,17:06,Pilot_GD_CC_Tr2_Day4_Block2_CC,GD,CC,2,2,4,CC,2024_12_05_17_06_21_trial_1_CC,8,6,12,NA,Collegiate-1,ZK,,Y,N,,,,Same worm escaped in 10 min interim. Most worms seemed quiescent by end.,,,,,,,,,
20241210,16:52,Pilot_GD_CC_TrX1_Day1_Block1_CC,GD,CC,X1,1,1,CC,2024_12_10_16_52_33_trial_1_CC,5,6,12,NA,Collegiate-1,ZK,,,,,,,"25 tri 20 ITI CC. In my braindead haste, I ran the Day2 sequence of CC-CC-CC instead of the Day1 LO-LO-CC-CC. ",,,,,,,,,
20241210,17:13,Pilot_GD_CC_TrX1_Day1_Block2_CC,GD,CC,X1,2,1,CC,2024_12_10_17_13_51_trial_1_CC,5,6,12,NA,Collegiate-1,ZK,,,,,,,25 tri 20 ITI CC. I've named this troupe X1 so to mean that this is the first throwaway/botched troupe,,,,,,,,,
20241210,17:35,Pilot_GD_CC_TrX1_Day1_Block3_CC,GD,CC,X1,3,1,CC,2024_12_10_17_35_01_trial_1_CC,5,6,12,NA,Collegiate-1,ZK,,,,,,,25 tri 20 ITI CC. Note that the runs on this day use titanium electrodes.,,,,,,,,,
20241211,16:06,Pilot_GD_CC_Tr3_Day1_Block1_LO,GD,CC,3,1,1,LO,2024_12_11_16_06_17_trial_1_LO,0,6,12,0.056 A,Collegiate-1,ZK,,,,x,,,"25 tri 20 ITI LO. Major issues with worms leaving -- 1 first block, 4 during post-first acclim. Started using  aluminum electrodes. Did calib out of order (10 min acclim --> calib --> 5 more min acclim).",,,,,,,,,
